like,love,haha,sad,wow,care,angry
3108,34,1213,56,12,9,4
1427,515,6,2,6,14,1
167,59,1,2,4,7,1
1225,30,831,16,4,6,1
4665,21,1139,1639,15,3,8
4955,15,3738,2047,20,12,12
209,26,2,0,6,4,1
7022,42,6208,152,12,19,2
2427,462,222,1,14,25,1
1612,3,736,9,1,6,1
1112,144,240,1,3,9,1
2130,21,1356,30,7,4,2
1065,4,1183,11,3,0,1
1780,8,1250,764,2,6,8
1353,27,13,1,5,4,1
16991,4504,183,5,14,123,2
1494,280,3,0,4,10,1
1602,235,10,1,4,11,1
2439,67,609,2,3,6,1
1354,2,894,18,2,2,1
1774,247,51,5,22,12,1
1047,10,729,4,2,2,1
1012,14,948,17,3,3,1
7519,30,8004,1787,19,14,3
2361,225,654,4,28,12,1
1237,10,532,180,3,1,1
790,3,493,13,3,2,1
5016,963,23,1,5,31,1
2294,55,2,656,5,10,1
1169,7,676,22,1,1,1
1697,41,718,1,4,3,1
2725,49,1684,13,17,7,1
1612,436,45,1,10,19,1
560,124,53,4,9,0,1
928,170,11,1,10,10,1
414,132,1,0,2,7,1
1480,5,1398,16,5,3,0
1607,5,1047,15,2,9,1
2482,64,2139,20,20,13,1
1698,469,66,7,14,18,2
2724,313,54,6,149,13,2
1451,11,1138,8,4,4,2
1558,13,663,16,2,4,1
2925,273,583,2,14,13,1
6748,204,3714,36,9,59,1
2713,575,13,3,2,31,1
695,5,574,4,3,2,2
2514,456,14,2,4,17,1
2633,34,1746,8,28,8,2
1239,16,317,6,3,7,1
597,88,3,0,9,10,1
745,11,366,4,10,6,1
2088,11,1072,76,4,3,1
895,8,473,114,1,5,2
356,54,2,0,1,4,1
1904,22,666,8,4,2,1
1776,30,19,8,13,4,1
2035,325,21,3,5,19,1
1301,23,838,6,6,3,1
1066,186,9,1,3,6,0
1106,143,17,0,6,4,1
3607,40,1347,40,7,11,1
814,3,567,7,5,0,1
467,16,64,0,7,4,1
751,120,8,0,5,3,1
1051,8,497,5,1,2,1
1139,11,478,3,5,1,1
1149,156,209,4,3,11,1
826,4,429,3,1,1,1
5033,162,3582,78,35,26,1
1928,15,4475,92,5,10,1
264,48,2,0,1,4,1
2388,21,1343,15,2,4,2
5282,857,3092,13,48,87,1
619,21,115,3,2,5,1
2257,13,2468,31,3,3,1
4097,1334,9,20,16,44,1
4566,63,4319,78,10,10,2
2011,949,2,11,3,32,1
2010,489,66,2,3,27,1
1222,120,317,6,2,10,1
1458,14,646,8,2,3,2
2605,16,2647,25,6,5,2
355,65,2,0,6,3,1
2807,24,1855,30,11,6,3
1182,7,960,5,5,3,1
3116,14,3893,69,12,16,2
1881,62,497,6,5,9,1
709,5,260,3,3,2,1
716,4,455,10,3,3,1
1498,8,947,25,6,1,1
4172,31,3264,65,11,7,1
1409,164,8,6,12,6,1
2190,9,1152,39,1,3,1
1466,183,17,0,3,9,1
772,6,987,181,6,1,2
2643,18,1368,70,8,4,1
1933,53,777,4,25,4,1
1572,10,1452,34,4,4,1
858,4,465,9,4,4,1
423,76,2,0,1,3,1
416,34,117,0,5,0,1
1764,179,13,0,3,8,1
1641,42,666,12,11,2,1
4330,25,2194,148,11,5,1
1710,8,847,7,3,3,1
1535,42,8,1,15,2,1
1619,146,12,2,3,9,1
2882,89,44,14,289,11,2
2351,114,1249,6,7,14,1
807,6,338,17,4,1,1
4263,53,1940,27,10,10,2
763,15,188,2,2,1,1
2732,413,43,11,15,23,2
2629,25,21,577,7,11,2
4311,111,46,3,6,11,1
1163,126,6,0,3,8,1
2515,20,1083,29,5,6,1
2673,15,666,237,6,5,1
1665,350,14,2,1,11,1
1668,23,336,4,5,6,1
3439,40,1990,11,7,5,1
2440,24,689,10,28,7,1
2036,445,12,3,29,22,1
142,11,25,2,3,1,1
1541,10,45,1,9,4,1
1267,11,1402,56,3,1,1
2444,47,590,28,25,3,1
667,42,281,4,3,5,1
741,159,10,0,4,8,1
209,41,0,0,1,5,1
1757,30,947,38,5,4,2
1665,10,697,3,3,3,1
2397,322,7,13,4,14,4
2352,232,7,1,10,8,1
1926,60,5,0,12,3,1
3963,604,368,4,16,25,1
3083,388,25,1,32,10,1
446,47,118,1,9,2,1
2446,13,814,49,3,1,1
2044,313,10,4,13,7,1
4656,81,1198,12,8,14,1
2856,124,1372,28,17,16,3
568,73,16,0,4,3,1
1281,194,12,0,9,5,1
2217,170,10,1,2,10,1
2079,53,320,0,8,5,1
2129,14,944,15,2,5,1
2306,311,69,0,2,5,1
1786,11,658,13,3,0,1
10108,187,14682,211,19,41,1
2902,50,2513,60,11,11,3
5263,89,3357,93,14,10,2
1221,15,733,34,4,1,1
1166,44,24,0,4,9,1
2156,364,5,8,2,18,1
298,3,161,2,1,2,1
2246,352,55,6,3,10,1
110,18,1,0,1,1,1
1883,19,1088,19,5,5,1
4297,796,19,5,4,30,1
1514,11,564,4,4,1,1
3885,900,36,5,21,21,1
1007,8,377,2,5,1,1
1496,144,8,1,27,5,1
1650,13,14,3,7,4,1
1046,21,376,11,3,2,1
732,94,6,0,96,4,1
1382,152,24,4,3,9,1
2032,201,11,0,3,9,1
5267,663,97,4,68,19,1
1147,181,18,2,1,6,1
1214,147,4,0,2,4,1
4502,115,5879,32,11,36,1
2960,250,385,6,7,16,2
1822,25,21,294,4,1,2
1565,252,17,1,6,5,2
5313,1269,50,12,30,34,1
6543,1861,44,12,5,59,1
5857,107,3849,48,6,23,2
1236,139,126,4,1,4,1
7350,1134,19,1497,10,96,1
5760,1314,13,8,8,35,1
4673,36,3861,40,7,11,1
3794,476,22,12,7,17,1
6036,1856,18,37,14,66,1
3630,1247,19,34,7,57,1
10715,2530,562,8,16,79,1
1497,234,10,2,2,9,1
4884,1014,30,14,3,35,2
5758,30,4403,144,15,11,1
9212,104,5925,120,33,15,2
7158,167,2465,107,15,24,2
6137,1313,52,7,17,40,1
8060,96,5575,218,19,17,1
1029,97,68,0,2,5,1
5184,132,43,15,27,12,3
3875,36,3342,38,8,4,1
4874,45,1220,58,11,6,1
5973,1021,12,15,15,35,1
1336,18,1410,11,4,6,1
2567,465,6,0,3,13,1
4633,787,36,3,77,22,2
1255,34,273,5,17,3,1
1630,282,63,0,19,11,1
1193,17,267,1,1,2,1
3481,465,55,3,24,13,1
1487,253,6,4,2,8,1
2861,20,2522,56,6,7,2
1881,333,10,2,1,6,1
935,21,46,5,2,3,1
732,56,171,1,2,3,1
3997,638,18,4,14,26,1
1543,45,275,5,8,5,1
2014,19,1667,21,4,7,1
1983,18,801,8,1,6,0
